RefNo,Time_Stamp,X_Acceleration,Y_Acceleration,Z_Acceleration,AmbientTemp,BeltTemp,MotorCurrent,DrivenRPM,DriveRPM
5583,2019_04_12 19:13:30,0.7845,-2.6282,7.9238,32.03,31.61,6.201,690,960
5584,2019_04_12 19:13:33,2.079,-5.1387,7.8453,32.03,31.63,5.908,720,930
5585,2019_04_12 19:13:34,0.1177,-0.9414,7.6884,32.01,31.55,6.201,720,960
5586,2019_04_12 19:13:35,1.5691,-2.3928,7.963,32.01,31.69,5.811,660,960
5587,2019_04_12 19:13:36,0.4315,-1.216,7.4923,32.03,31.67,5.518,720,900
5588,2019_04_12 19:13:37,1.2945,-2.6282,8.1984,32.03,31.69,5.859,720,960
5589,2019_04_12 19:13:38,1.4906,0.3138,8.6299,31.99,31.69,5.908,720,960
5590,2019_04_12 19:13:39,0.3138,1.726,7.8061,32.03,31.69,6.494,660,960
5591,2019_04_12 19:13:40,0.4707,-2.942,7.7276,32.03,31.69,6.006,720,900
5592,2019_04_12 19:13:41,-0.2354,1.0591,7.8453,32.01,31.69,5.811,720,960
5593,2019_04_12 19:13:42,0.7845,-2.1182,7.9238,32.03,31.71,5.957,720,960
5594,2019_04_12 19:13:43,2.079,0.5884,8.1984,31.99,31.71,5.957,660,960
5595,2019_04_12 19:13:44,2.1575,-0.1961,7.9238,32.01,31.69,5.811,720,960
5596,2019_04_12 19:13:45,0.4707,-3.8442,7.8453,32.01,31.75,6.104,720,900
5597,2019_04_12 19:13:46,0.5884,-0.6276,7.4531,32.01,31.75,5.957,720,960
5598,2019_04_12 19:13:47,0.0785,1.7652,8.316,32.01,31.71,5.664,660,960
5599,2019_04_12 19:13:48,2.5105,0.2746,8.0415,31.99,31.75,6.152,720,960
5600,2019_04_12 19:13:49,2.8243,-1.4122,8.4337,31.99,31.75,5.713,720,900
5601,2019_04_12 19:13:50,1.5691,0.863,8.0415,32.01,31.75,5.566,720,960
5602,2019_04_12 19:13:51,0.5884,0.4707,7.8845,31.97,31.71,5.518,660,960
5603,2019_04_12 19:13:52,1.4122,-3.295,7.5315,31.99,31.77,5.371,720,960
5604,2019_04_12 19:13:53,0.4315,-5.4917,6.7077,32.01,31.75,5.664,720,900
5605,2019_04_12 19:13:54,2.1182,0.3138,8.316,32.01,31.75,5.42,690,960
5606,2019_04_12 19:13:55,2.0398,-1.9613,7.1392,32.01,31.75,5.664,690,960
5607,2019_04_12 19:13:56,-0.7453,-1.7652,7.6492,31.99,31.89,6.152,720,960
5608,2019_04_12 19:13:57,0.4707,-1.5691,8.0022,31.99,31.75,5.859,720,900
5609,2019_04_12 19:13:58,1.8829,2.4713,8.1591,31.99,31.77,5.518,660,960
5610,2019_04_12 19:13:59,1.4122,1.2945,8.0807,32.01,31.71,5.762,720,960
5611,2019_04_12 19:14:00,0.3923,0.1961,7.8845,32.01,31.83,6.299,720,960
5612,2019_04_12 19:14:01,1.0591,-3.295,7.6492,32.03,31.77,6.299,720,900
5613,2019_04_12 19:14:02,0.1177,-0.7061,8.1199,31.99,31.85,5.957,660,960
5614,2019_04_12 19:14:03,2.3928,0.2746,8.6299,32.03,31.85,5.566,720,960
5615,2019_04_12 19:14:04,2.1182,-1.9221,9.0221,31.99,31.75,6.006,720,960
5616,2019_04_12 19:14:05,0.8238,0.1961,8.0022,31.99,31.83,5.42,690,900
5617,2019_04_12 19:14:06,1.0199,0.7453,8.0807,32.01,31.85,5.762,690,960
5618,2019_04_12 19:14:07,1.2553,-1.8829,8.0415,32.01,31.75,5.908,720,960
5619,2019_04_12 19:14:08,0.863,-4.7072,7.6884,31.99,31.85,5.762,720,960
5620,2019_04_12 19:14:09,0.3138,0.8238,7.963,31.99,31.89,5.713,660,900
5621,2019_04_12 19:14:10,1.0199,-1.6867,7.5315,31.99,31.89,5.859,720,960
5622,2019_04_12 19:14:11,1.4514,-1.8437,7.6884,31.99,31.89,5.566,720,960
5623,2019_04_12 19:14:12,0.4315,-3.6088,7.5315,31.99,31.85,5.566,720,960
5624,2019_04_12 19:14:13,0.7845,-0.9807,7.7669,32.01,31.95,5.566,660,900
5625,2019_04_12 19:14:14,-0.2354,-4.7464,7.2569,31.97,31.89,5.615,720,960
5626,2019_04_12 19:14:15,1.3337,-0.3923,7.61,31.99,31.95,6.25,720,960
5627,2019_04_12 19:14:16,1.3337,-0.5099,7.8061,31.99,31.97,6.055,660,930
5628,2019_04_12 19:14:17,1.4122,-2.0006,7.8845,32.01,31.95,5.566,720,930
5629,2019_04_12 19:14:18,0.8238,-2.2359,7.6492,31.99,31.97,5.322,720,960
5630,2019_04_12 19:14:19,0.3923,-1.5691,8.0415,32.03,31.97,6.006,690,960
5631,2019_04_12 19:14:20,1.8829,-0.353,7.8061,31.99,31.95,5.322,690,900
5632,2019_04_12 19:14:21,1.2945,-4.0403,7.5707,31.97,31.99,5.811,720,960
5633,2019_04_12 19:14:22,0.3923,0.6276,8.7083,31.99,31.97,5.811,720,960
5634,2019_04_12 19:14:23,0.1569,-1.2553,7.963,31.99,31.97,5.225,660,900
5635,2019_04_12 19:14:24,0.7453,-1.6867,7.8453,31.99,31.99,5.811,720,960
5636,2019_04_12 19:14:25,1.0199,-1.1768,7.8453,32.01,31.99,6.055,720,960
5637,2019_04_12 19:14:26,2.5105,-2.3144,7.8453,32.03,31.99,6.055,660,930
5638,2019_04_12 19:14:27,1.3729,1.9613,8.5906,31.99,31.99,6.055,720,930
5639,2019_04_12 19:14:28,-0.353,-0.9022,7.5315,32.01,31.97,6.006,720,960
5640,2019_04_12 19:14:29,2.079,-2.0006,7.9238,31.99,31.99,5.664,660,900
5641,2019_04_12 19:14:30,0.7845,0.3138,8.1199,32.05,32.05,5.371,720,960
