RefNo,Time_Stamp,X_Acceleration,Y_Acceleration,Z_Acceleration,AmbientTemp,BeltTemp,MotorCurrent,DrivenRPM,DriveRPM
2056,2019_04_09 18:24:32,0.4315,-1.0983,7.7276,31.97,32.39,7.129,540,720
2057,2019_04_09 18:24:33,0.5884,-0.5884,7.1392,31.97,32.41,6.445,600,780
2058,2019_04_09 18:24:34,3.5304,-1.1376,8.0415,31.97,32.47,6.299,600,780
2059,2019_04_09 18:24:35,2.6282,0.353,8.2768,31.95,32.47,6.396,570,780
2060,2019_04_09 18:24:36,-0.7845,-3.6088,8.7083,31.97,32.41,6.152,570,780
2061,2019_04_09 18:24:37,0.5099,-2.1967,8.2768,31.99,32.41,6.299,600,780
2062,2019_04_09 18:24:38,2.2751,1.2553,8.1984,31.99,32.49,6.738,600,840
2063,2019_04_09 18:24:39,0.6669,-0.1569,8.0415,31.97,32.41,6.787,600,780
2064,2019_04_09 18:24:40,1.8437,-2.2359,8.316,31.99,32.41,6.592,600,780
2065,2019_04_09 18:24:41,2.9812,-0.9022,8.0022,31.99,32.49,7.031,570,780
2066,2019_04_09 18:24:42,-0.1961,-0.7453,7.7669,31.97,32.41,6.396,570,810
2067,2019_04_09 18:24:43,2.1967,1.6867,8.4337,31.97,32.45,6.641,600,810
2068,2019_04_09 18:24:44,1.9221,-2.0006,7.7276,32.01,32.47,6.689,600,780
2082,2019_04_09 18:24:58,3.5696,-0.6669,8.9044,32.01,32.47,6.934,600,780
2083,2019_04_09 18:24:59,-1.7652,-0.0785,7.5707,31.99,32.41,6.885,600,840
2084,2019_04_09 18:25:00,-9.3752,-7.7276,7.2961,31.99,32.47,6.885,600,780
2085,2019_04_09 18:25:01,1.0199,-0.5492,7.8453,31.97,32.49,6.641,600,840
2086,2019_04_09 18:25:02,2.0398,-1.4514,7.1392,31.97,32.55,5.908,600,780
2087,2019_04_09 18:25:03,1.3337,-5.2956,7.6492,32.01,32.53,6.543,600,840
2088,2019_04_09 18:25:04,4.3149,-3.4519,8.6299,31.97,32.45,6.25,600,780
2089,2019_04_09 18:25:05,0.353,1.1768,8.0807,32.01,32.49,6.201,600,780
2090,2019_04_09 18:25:06,0.7061,0.9022,7.963,32.01,32.59,6.787,600,840
2091,2019_04_09 18:25:07,1.1768,-0.5884,8.0807,31.99,32.49,6.396,600,780
2092,2019_04_09 18:25:08,-0.8238,-0.863,7.4138,31.99,32.41,6.152,600,840
2093,2019_04_09 18:25:09,2.3536,-1.1376,8.316,32.01,32.41,6.689,600,780
2094,2019_04_09 18:25:10,1.8829,-3.0597,7.61,31.97,32.53,6.104,600,840
2095,2019_04_09 18:25:11,0.863,-1.8829,7.8845,31.99,32.59,6.201,600,780
2096,2019_04_09 18:25:12,-0.9807,-0.5884,7.4138,31.99,32.59,6.299,600,780
2097,2019_04_09 18:25:13,1.4514,-5.4917,7.2961,31.99,32.49,6.006,570,840
2098,2019_04_09 18:25:14,1.4906,-2.0398,8.316,31.99,32.53,6.689,570,780
2099,2019_04_09 18:25:15,2.3144,-2.942,9.1006,31.99,32.49,5.859,600,780
2100,2019_04_09 18:25:16,2.7066,-4.7856,7.2569,32.01,32.53,6.543,600,780
2101,2019_04_09 18:25:17,-1.7652,-1.1376,7.61,32.01,32.53,6.055,600,840
2102,2019_04_09 18:25:18,0.9807,-1.8044,8.5122,32.01,32.63,6.152,600,780
2103,2019_04_09 18:25:19,3.805,-3.4912,8.316,32.03,32.59,6.689,600,780
2104,2019_04_09 18:25:20,1.4122,-0.1177,7.9238,31.99,32.59,6.348,600,780
2105,2019_04_09 18:25:21,0.5099,0.5884,8.3553,32.01,32.67,6.689,600,840
2106,2019_04_09 18:25:22,1.5691,-1.4122,8.316,32.01,32.59,6.885,600,780
2107,2019_04_09 18:25:23,7.3746,7.4923,7.4531,32.01,32.63,6.299,600,780
2108,2019_04_09 18:25:24,-0.6669,-1.726,6.9823,32.01,32.61,6.689,540,840
2109,2019_04_09 18:25:25,4.0403,0.2746,8.4729,32.03,32.63,6.152,600,780
2110,2019_04_09 18:25:26,0.7453,-2.1967,6.747,31.99,32.59,6.055,600,780
2111,2019_04_09 18:25:27,1.0983,-0.863,7.1785,32.03,32.61,6.494,600,840
2112,2019_04_09 18:25:28,5.1387,3.1774,8.0022,31.99,32.67,6.885,600,780
2113,2019_04_09 18:25:29,0.4707,-1.726,7.6884,32.01,32.59,6.006,600,780
2114,2019_04_09 18:25:30,-2.1575,-0.1961,8.5122,32.01,32.63,6.25,600,780
2115,2019_04_09 18:25:31,4.8641,-3.0989,8.1199,31.99,32.69,6.006,600,840
2116,2019_04_09 18:25:32,2.8635,-0.4315,7.9238,32.01,32.63,6.543,600,780
2117,2019_04_09 18:25:33,3.4519,-2.9028,8.9829,32.01,32.67,6.787,540,720
2118,2019_04_09 18:25:34,-0.5884,0.1177,7.5707,32.03,32.61,6.006,600,780
2119,2019_04_09 18:25:35,2.5105,1.1768,7.8061,31.99,32.61,6.494,600,780
2120,2019_04_09 18:25:36,1.6867,-1.216,8.5122,32.01,32.61,6.348,600,780
2121,2019_04_09 18:25:37,-0.8238,-0.7453,7.7669,32.01,32.61,6.445,600,840
2122,2019_04_09 18:25:38,0.7061,-0.9022,8.1984,32.01,32.61,6.396,540,780
2123,2019_04_09 18:25:39,0.4707,-0.3138,8.0415,32.03,32.61,6.689,600,780
2124,2019_04_09 18:25:40,3.2166,1.8437,8.5906,32.01,32.63,6.738,600,780
2125,2019_04_09 18:25:41,2.1182,-1.3729,8.2768,32.01,32.69,6.201,600,780
2126,2019_04_09 18:25:42,0.7061,-1.726,8.1199,31.99,32.63,6.885,540,720
2127,2019_04_09 18:25:43,0.1961,-1.7652,8.826,31.99,32.61,6.25,600,360
2128,2019_04_09 18:25:44,-0.2354,0.6669,7.7669,31.99,32.69,6.494,600,600
2129,2019_04_09 18:25:45,0.7061,-3.7265,7.7276,32.01,32.71,6.641,540,780
2130,2019_04_09 18:25:46,-1.6867,-0.1569,7.0608,32.01,32.67,6.055,600,780
2131,2019_04_09 18:25:47,0.6669,-2.079,7.4531,32.01,32.71,6.738,600,780
2132,2019_04_09 18:25:48,0.2354,-2.079,7.9238,32.03,32.69,5.957,600,780
2133,2019_04_09 18:25:49,-0.9807,0,7.4923,32.01,32.67,6.006,540,780
2134,2019_04_09 18:25:50,4.7072,0.3923,9.2575,32.01,32.71,6.641,600,780
2135,2019_04_09 18:25:51,2.589,-1.5298,7.963,32.01,32.71,6.738,600,780
2136,2019_04_09 18:25:52,2.8243,-1.726,8.5122,31.97,32.71,6.25,570,780
2137,2019_04_09 18:25:53,0.4707,0.3138,7.6884,32.01,32.71,6.006,570,780
2138,2019_04_09 18:25:54,0.4315,-2.9812,7.61,31.99,32.71,6.543,600,780
2139,2019_04_09 18:25:55,1.216,-1.4906,8.7868,31.99,32.75,6.592,600,810
2140,2019_04_09 18:25:56,0.7061,2.0006,7.2961,31.99,32.71,6.006,540,810
2141,2019_04_09 18:25:57,0.2746,-1.6475,7.3746,32.03,32.77,6.641,600,720
2142,2019_04_09 18:25:58,0.6276,-2.0398,7.7276,32.03,32.81,6.543,600,750
2143,2019_04_09 18:25:59,0.3923,-0.863,7.4923,32.03,32.75,6.396,540,750
2144,2019_04_09 18:26:00,1.1376,-2.7851,8.0022,31.99,32.69,6.055,600,780
2145,2019_04_09 18:26:01,-1.5298,-1.0983,7.8061,32.03,32.77,6.152,600,780
2146,2019_04_09 18:26:02,1.5298,0.3138,8.3945,32.03,32.69,6.006,600,780
2147,2019_04_09 18:26:03,-1.4906,-0.1177,7.8845,32.01,32.81,6.738,540,720
2148,2019_04_09 18:26:04,0.1177,-1.3337,8.0022,32.01,32.75,6.689,600,780
2149,2019_04_09 18:26:05,2.9812,-2.942,8.3553,32.01,32.75,5.762,540,780
2150,2019_04_09 18:26:06,0.9022,-2.0006,7.0608,32.01,32.71,5.762,600,780
2151,2019_04_09 18:26:07,0.1961,-1.4906,7.7276,32.01,32.75,6.592,600,780
2152,2019_04_09 18:26:08,0.0785,-0.5492,7.8061,32.01,32.81,6.055,540,780
2153,2019_04_09 18:26:09,3.4519,-0.353,8.7083,32.01,32.77,6.201,600,780
2154,2019_04_09 18:26:10,-1.3729,-4.8641,7.7669,32.01,32.77,6.396,540,780
2155,2019_04_09 18:26:11,0.3138,-0.1569,7.9238,31.99,32.71,6.494,600,780
