RefNo,Time_Stamp,X_Acceleration,Y_Acceleration,Z_Acceleration,AmbientTemp,BeltTemp,MotorCurrent,DrivenRPM,DriveRPM
3976,2019_04_10 15:20:18,1.6867,-1.2945,8.0807,31.91,31.89,8.301,420,600
3977,2019_04_10 15:20:18,4.0011,-1.2945,8.0022,31.95,31.97,8.105,480,600
3978,2019_04_10 15:20:19,1.0983,-1.3729,7.8845,31.95,31.97,8.789,420,660
3979,2019_04_10 15:20:19,0.1569,-0.7061,7.8453,31.95,31.95,7.422,510,630
3980,2019_04_10 15:20:20,1.6475,-1.4122,8.2376,31.97,31.97,7.813,420,600
3981,2019_04_10 15:20:20,0.5884,-1.6083,7.8845,31.95,31.95,8.203,480,600
3982,2019_04_10 15:20:21,-0.863,-0.2354,8.1984,31.93,31.97,8.057,420,600
3983,2019_04_10 15:20:22,0.4315,-1.2945,8.2376,31.95,31.95,7.715,480,600
3984,2019_04_10 15:20:22,0.2746,-0.5492,8.3945,31.93,31.97,8.35,420,600
3985,2019_04_10 15:20:23,0.6276,-2.2751,8.0807,31.95,31.97,7.568,480,600
3986,2019_04_10 15:20:23,1.6083,-2.3144,8.0415,31.95,31.97,8.252,420,600
3987,2019_04_10 15:20:24,2.2359,-0.4707,8.0022,31.97,31.97,8.496,450,600
3988,2019_04_10 15:20:24,0.9414,-2.6674,7.8845,31.95,31.97,8.252,450,600
3989,2019_04_10 15:20:25,0.3923,-0.353,8.1591,31.97,31.97,7.471,420,600
3990,2019_04_10 15:20:25,0.353,-1.1768,7.6492,31.95,31.91,8.154,480,600
3991,2019_04_10 15:20:26,0.4315,-0.5492,7.9238,31.97,32.05,7.52,420,600
3992,2019_04_10 15:20:27,1.4514,-1.4906,8.2768,31.99,32.09,8.301,420,540
3993,2019_04_10 15:20:28,2.079,-1.1768,8.5514,31.97,31.99,8.252,420,600
3994,2019_04_10 15:20:29,0.863,-0.8238,8.1591,31.97,31.99,7.617,480,600
3995,2019_04_10 15:20:30,1.3729,-0.863,8.0415,31.97,31.99,7.52,420,600
3996,2019_04_10 15:20:31,0.1961,-1.216,8.0022,31.99,31.97,7.275,420,570
3997,2019_04_10 15:20:32,1.0199,-0.5099,8.0807,31.97,32.05,8.008,420,570
3998,2019_04_10 15:20:33,0.2354,-0.863,8.1984,31.97,31.97,8.447,480,600
3999,2019_04_10 15:20:34,1.4514,-0.9022,8.0415,31.95,32.03,8.447,420,600
4000,2019_04_10 15:20:35,0,-0.1177,8.316,31.99,31.99,7.861,420,540
4001,2019_04_10 15:20:36,-0.0785,0.9807,8.6299,31.97,32.05,7.861,420,600
4002,2019_04_10 15:20:37,0.1569,-0.8238,7.8845,31.97,31.97,7.715,420,540
4003,2019_04_10 15:20:38,1.3337,-1.3729,7.61,31.97,32.03,7.422,420,600
4004,2019_04_10 15:20:39,1.2945,-1.4514,8.1984,31.95,31.97,7.031,420,540
4005,2019_04_10 15:20:40,2.7851,-1.6083,8.1199,31.99,32.05,7.275,420,600
4006,2019_04_10 15:20:41,2.589,-1.4514,7.7669,31.95,32.03,6.982,420,540
4007,2019_04_10 15:20:42,1.0591,-0.6669,8.1984,31.97,32.03,7.031,420,600
4008,2019_04_10 15:20:43,0.863,-0.3138,7.8453,31.97,32.05,8.105,420,540
4009,2019_04_10 15:20:44,2.4713,-0.5099,7.4923,31.95,32.05,8.252,420,540
4010,2019_04_10 15:20:45,1.8437,-1.6867,8.2376,31.95,32.03,8.057,420,600
4011,2019_04_10 15:20:46,2.3144,-1.5298,8.316,31.99,32.05,6.836,420,540
4012,2019_04_10 15:20:47,1.1768,-1.0983,8.0022,31.99,32.09,7.764,420,570
4013,2019_04_10 15:20:48,2.2359,-0.9414,8.5906,31.97,32.11,7.813,420,570
4014,2019_04_10 15:20:49,-0.2746,-1.3729,7.7669,31.95,32.11,7.813,420,540
4015,2019_04_10 15:20:50,0.4315,-1.2945,7.8845,31.95,32.03,7.959,420,540
4016,2019_04_10 15:20:51,2.079,-1.6867,7.8845,31.99,32.17,8.105,420,600
