RefNo,Time_Stamp,X_Acceleration,Y_Acceleration,Z_Acceleration,AmbientTemp,BeltTemp,MotorCurrent,DrivenRPM,DriveRPM
6766,2019_04_12 23:47:31,1.9613,-3.2166,7.7669,32.83,32.83,6.348,540,750
6767,2019_04_12 23:47:32,0.4315,-1.6475,7.9238,32.83,32.83,6.201,600,780
6768,2019_04_12 23:47:33,2.2359,-2.7459,7.8453,32.83,32.83,6.543,600,780
6769,2019_04_12 23:47:34,-1.4514,-2.5497,7.4138,32.83,32.83,6.055,540,780
6785,2019_04_12 23:47:50,-1.2945,-1.2945,7.2177,32.83,32.85,6.396,600,780
6786,2019_04_12 23:47:51,2.7066,-0.4315,8.4729,32.85,32.89,6.104,540,720
6787,2019_04_12 23:47:52,-0.9414,0.2354,6.3547,32.81,32.83,6.152,600,780
6788,2019_04_12 23:47:53,-0.4315,-1.8044,6.9039,32.81,32.89,6.787,600,780
6789,2019_04_12 23:47:54,2.6282,0.1961,8.5122,32.83,32.85,6.787,540,780
6790,2019_04_12 23:47:55,1.9221,-2.4713,8.1984,32.83,32.91,6.738,600,780
6791,2019_04_12 23:47:56,-0.6276,-0.3923,6.9039,32.81,32.85,6.592,540,780
6792,2019_04_12 23:47:57,2.9812,-2.3536,8.4337,32.83,32.89,5.859,600,720
6793,2019_04_12 23:47:58,-3.0989,0.0392,8.1199,32.83,32.91,6.787,540,780
6794,2019_04_12 23:47:59,1.216,-1.4514,8.0415,32.83,32.97,6.152,600,780
6795,2019_04_12 23:48:00,-1.1768,0.3138,7.6492,32.81,32.89,6.543,540,780
6796,2019_04_12 23:48:01,-0.6669,-0.9414,7.4923,32.81,32.97,6.787,600,780
6797,2019_04_12 23:48:02,2.1575,-4.3934,7.4923,32.83,32.97,6.201,540,720
6798,2019_04_12 23:48:03,-1.4514,-3.1774,8.1984,32.83,32.97,6.641,600,780
6799,2019_04_12 23:48:04,1.1376,0.0785,8.2768,32.83,32.97,6.543,540,780
6800,2019_04_12 23:48:05,4.3542,-0.0785,8.6691,32.83,32.89,6.396,600,720
6801,2019_04_12 23:48:06,-1.4906,-1.4122,7.1785,32.83,32.95,6.055,540,780
6802,2019_04_12 23:48:07,-0.5099,-2.4713,7.2961,32.83,32.91,6.494,570,780
6803,2019_04_12 23:48:08,1.9221,-0.1569,7.6884,32.83,32.99,6.055,570,720
6804,2019_04_12 23:48:09,1.7652,-2.5105,8.0022,32.81,32.99,6.348,540,780
6805,2019_04_12 23:48:10,2.2751,1.0199,8.0415,32.81,32.97,5.908,600,720
6806,2019_04_12 23:48:11,0,-1.216,7.4531,32.83,32.97,6.152,540,780
6807,2019_04_12 23:48:13,0.2746,-0.3138,7.5707,32.85,33.05,6.055,570,780
6808,2019_04_12 23:48:13,1.8044,-1.1376,9.0221,32.85,32.99,5.811,570,720
6809,2019_04_12 23:48:15,0.9414,-0.0392,8.1199,32.83,32.99,6.201,540,780
6810,2019_04_12 23:48:15,1.0983,-3.2558,7.61,32.83,33.05,5.908,600,720
6811,2019_04_12 23:48:17,0.6669,-1.0199,8.0415,32.83,32.99,5.811,540,780
6812,2019_04_12 23:48:17,1.6475,-1.6083,7.1392,32.83,33.07,6.641,540,750
6813,2019_04_12 23:48:19,-0.7845,-0.6669,7.2177,32.83,32.97,5.713,600,750
6814,2019_04_12 23:48:19,2.3536,-1.8437,8.7475,32.85,33.05,6.543,540,780
6815,2019_04_12 23:48:21,-0.4707,-0.9022,8.0022,32.83,32.99,6.152,540,720
6816,2019_04_12 23:48:21,-0.9022,-0.2746,8.8652,32.81,32.99,6.738,600,780
6817,2019_04_12 23:48:23,2.7459,-0.7845,8.7475,32.83,33.05,6.445,540,720
6818,2019_04_12 23:48:23,0.8238,0.4315,8.2376,32.83,32.99,6.494,540,780
6819,2019_04_12 23:48:25,1.4122,-1.4514,8.5906,32.85,33.07,6.738,600,720
6820,2019_04_12 23:48:25,2.589,-2.1575,8.4337,32.85,33.13,6.006,540,780
6821,2019_04_12 23:48:27,1.216,1.0199,8.4337,32.85,33.05,5.957,540,720
6822,2019_04_12 23:48:27,1.6083,-0.3923,8.2768,32.85,33.07,6.006,600,780
6823,2019_04_12 23:48:29,0.863,-0.2354,7.8061,32.83,32.97,6.104,540,720
6824,2019_04_12 23:48:29,1.9613,-3.2166,7.2961,32.83,33.11,6.641,540,780
6825,2019_04_12 23:48:31,-1.5298,0.353,7.4531,32.83,33.07,6.494,600,720
6826,2019_04_12 23:48:31,-1.0591,-1.5691,6.5901,32.83,33.07,6.689,540,780
6827,2019_04_12 23:48:33,1.2553,-0.0785,7.8845,32.81,33.11,5.908,540,720
6828,2019_04_12 23:48:34,0.5099,-1.1768,7.963,32.81,33.11,6.396,570,780
