RefNo,Time_Stamp,X_Acceleration,Y_Acceleration,Z_Acceleration,AmbientTemp,BeltTemp,MotorCurrent,DrivenRPM,DriveRPM
4985,2019_04_12 18:04:55,2.942,-2.1182,7.963,32.27,32.19,6.836,1110,1530
4986,2019_04_12 18:04:58,3.7658,-7.0216,8.7868,32.23,32.17,7.08,1080,1440
4987,2019_04_12 18:04:59,3.0989,-2.4713,7.9238,32.31,32.19,6.982,1080,1500
4988,2019_04_12 18:05:00,-1.1768,0.6276,8.4729,32.27,32.21,6.982,1080,1440
4989,2019_04_12 18:05:01,-2.9028,4.1188,8.0807,32.27,32.27,6.641,1080,1500
4990,2019_04_12 18:05:02,3.5696,-6.3155,8.9044,32.25,32.27,6.885,1080,1440
4991,2019_04_12 18:05:18,-0.0785,0.863,8.316,32.33,32.33,6.934,990,1350
4992,2019_04_12 18:05:22,2.1575,-3.4127,8.826,32.27,32.33,6.982,960,1260
4993,2019_04_12 18:05:23,-1.5691,-1.726,9.2967,32.31,32.39,6.738,960,1320
4994,2019_04_12 18:05:23,1.0199,-3.2166,8.4337,32.27,32.35,6.055,960,1260
4995,2019_04_12 18:05:25,-0.0392,0.1961,8.3553,32.27,32.35,6.25,930,1320
4996,2019_04_12 18:05:25,0.5492,-6.1193,7.6884,32.27,32.39,6.396,930,1260
4997,2019_04_12 18:05:27,-0.0785,1.4514,8.3553,32.31,32.41,5.713,900,1200
4998,2019_04_12 18:05:27,0.9807,-4.4326,6.7862,32.33,32.47,6.25,900,1200
4999,2019_04_12 18:05:29,2.0006,-2.3928,7.5315,32.27,32.39,6.152,900,1200
5000,2019_04_12 18:05:30,-2.079,2.1182,7.3354,32.33,32.35,5.859,840,1200
5001,2019_04_12 18:05:31,1.4906,-1.1768,8.2376,32.33,32.39,5.859,900,1200
5002,2019_04_12 18:05:32,1.6867,-3.0989,8.7083,32.33,32.33,6.494,900,1140
5003,2019_04_12 18:05:33,-0.5492,-1.7652,8.1199,32.31,32.41,5.615,840,1200
5004,2019_04_12 18:05:34,-2.079,-2.3536,7.61,32.31,32.45,6.396,900,1200
5005,2019_04_12 18:05:35,0.7061,-1.0591,7.963,32.31,32.45,6.25,900,1200
5006,2019_04_12 18:05:36,1.2553,-2.3144,7.4531,32.31,32.45,5.908,840,1140
5007,2019_04_12 18:05:37,0.9807,-5.2171,8.1591,32.27,32.45,6.543,900,1200
5008,2019_04_12 18:05:38,1.726,-4.3149,8.2768,32.27,32.41,6.445,870,1200
5009,2019_04_12 18:05:39,2.1575,-0.3923,8.8652,32.33,32.47,6.494,870,1200
5010,2019_04_12 18:05:40,1.2945,1.2945,7.4138,32.31,32.47,6.689,900,1200
5011,2019_04_12 18:05:41,2.3144,-2.432,9.1398,32.31,32.55,6.348,840,1140
5012,2019_04_12 18:05:42,1.0983,-6.0801,7.6492,32.31,32.49,6.006,900,1200
5013,2019_04_12 18:05:43,0.5099,2.9812,8.0022,32.33,32.55,5.811,870,1200
5014,2019_04_12 18:05:44,1.3729,4.3934,8.6299,32.31,32.59,5.811,870,1140
5015,2019_04_12 18:05:45,-2.1967,1.4514,6.747,32.31,32.55,5.518,900,1200
5016,2019_04_12 18:05:46,2.9812,4.668,8.5514,32.35,32.55,5.859,840,1140
