RefNo,Time_Stamp,X_Acceleration,Y_Acceleration,Z_Acceleration,AmbientTemp,BeltTemp,MotorCurrent,DrivenRPM,DriveRPM,,
19,2019_04_08 14:45:43,4.5503,0.5884,8.4337,32.09,32.13,7.959,840,810,,
20,2019_04_08 14:45:43,3.6481,-3.3343,8.1591,32.09,32.17,7.422,870,870,,
21,2019_04_08 14:45:46,0.5099,-3.295,7.8061,32.09,32.17,8.105,780,840,,
22,2019_04_08 14:45:47,-0.4707,-0.7453,7.3354,32.11,32.27,8.35,840,840,,
23,2019_04_08 14:45:48,3.2558,-3.0204,9.2183,32.05,32.19,8.105,780,810,,
24,2019_04_08 14:45:49,3.2558,-1.8437,8.6691,32.05,32.21,8.496,840,810,,
25,2019_04_08 14:45:50,2.1575,-0.1177,8.7475,32.09,32.25,7.715,780,840,,
26,2019_04_08 14:45:51,0.7453,0.9414,7.4531,32.05,32.21,7.568,810,840,,
27,2019_04_08 14:45:52,1.5298,-1.7652,7.9238,32.09,32.25,7.178,810,780,,
28,2019_04_08 14:45:53,3.6088,-0.4315,8.5122,32.05,32.31,7.227,780,840,,
29,2019_04_08 14:45:54,-0.4707,0.4707,6.9039,32.05,32.33,8.301,840,810,,
30,2019_04_08 14:45:55,2.7066,1.0199,8.5906,32.11,32.35,7.813,780,810,,
31,2019_04_08 14:45:56,1.9221,-2.4713,8.1199,32.05,32.31,8.203,780,840,,
32,2019_04_08 14:45:57,-1.6867,-3.4912,7.1392,32.05,32.31,7.275,840,780,,
33,2019_04_08 14:45:58,1.0199,-2.0006,7.4923,32.03,32.27,7.275,780,840,,
34,2019_04_08 14:45:59,0.3138,-3.0204,7.2569,32.03,32.27,7.422,780,840,,
35,2019_04_08 14:46:00,-0.6276,-3.2558,7.7276,32.03,32.33,7.715,840,780,,
36,2019_04_08 14:46:01,-1.5691,-2.3928,7.4531,32.05,32.39,7.129,780,840,,
37,2019_04_08 14:46:02,3.2558,-2.2359,8.6691,32.05,32.31,8.301,780,780,,
38,2019_04_08 14:46:03,-0.0392,0.0392,7.7276,32.03,32.35,7.666,810,840,,
39,2019_04_08 14:46:04,-0.7845,-2.9028,7.8061,32.03,32.33,7.568,810,780,,
40,2019_04_08 14:46:05,-1.2945,-0.6669,7.2177,32.01,32.39,7.324,780,810,,
41,2019_04_08 14:46:06,1.8044,-2.3536,8.2768,32.01,32.31,7.129,780,810,,
42,2019_04_08 14:46:07,0,0.5492,8.5122,32.03,32.41,7.666,780,780,,
43,2019_04_08 14:46:08,2.8243,0.1569,9.0221,32.03,32.35,8.301,780,840,,
44,2019_04_08 14:46:09,7.2569,-1.4906,8.5122,32.05,32.39,7.764,810,780,,
45,2019_04_08 14:46:10,-2.0398,-0.5099,7.2961,32.03,32.39,7.324,810,810,,
46,2019_04_08 14:46:11,0.5492,-2.1575,7.4923,32.03,32.41,7.129,780,810,,
47,2019_04_08 14:46:12,2.7459,-1.0591,8.4729,32.03,32.45,7.666,780,780,,
48,2019_04_08 14:46:13,4.0796,-1.4906,8.5122,31.99,32.41,8.057,780,840,,
49,2019_04_08 14:46:14,-0.353,-1.3729,7.3746,32.03,32.41,7.764,780,780,,
50,2019_04_08 14:46:15,0.5884,-1.7652,7.7276,32.03,32.41,8.154,780,780,,
51,2019_04_08 14:46:16,7.2569,-2.9028,9.4928,32.01,32.35,7.666,780,840,,
52,2019_04_08 14:46:17,6.1586,-0.9022,8.3553,32.03,32.45,7.275,780,780,,
53,2019_04_08 14:46:18,1.0199,-5.531,8.4729,32.01,32.45,7.91,780,780,,
54,2019_04_08 14:46:19,0.3923,-0.1177,8.0807,31.99,32.47,7.959,780,780,,
55,2019_04_08 14:46:20,0.1569,1.1768,8.1984,32.01,32.45,7.471,780,840,,
56,2019_04_08 14:46:21,1.1376,-2.1182,7.6884,32.01,32.47,7.959,780,780,,
57,2019_04_08 14:46:22,0.6276,-1.4122,8.2376,32.01,32.45,7.471,780,780,,
58,2019_04_08 14:46:23,-1.3337,-2.6674,7.6884,32.01,32.45,7.178,780,780,,
